#{"t_start": 1789709092.8588629, "env_id": "None"}
r,l,t
-95.883663,300,2014.257449
-187.065942,300,2014.94926
-176.384471,300,2015.657365
-95.674975,300,2016.182577
-143.221467,300,2016.755686
-135.165984,300,2017.417583
-199.401284,300,2018.257785
-178.066113,300,2018.99042
-158.462409,300,2019.54134
-110.851413,300,2020.025694
-154.347634,300,2020.688812
-187.529288,300,2021.428303
-176.055546,300,2022.3226
-148.678488,300,2022.9803
-99.437242,300,2023.469134
-82.939013,300,2024.009464
-70.123729,300,2024.464404
-94.278342,300,2024.941986
-154.535996,300,2025.579895
-133.884988,300,2026.234781
-150.957663,300,2026.840656
-191.951563,300,2027.599582
-93.630084,300,2028.126484
-129.107046,300,2028.685489
-99.457684,300,2029.214725
-137.939,300,2029.838625
-169.995717,300,2030.57001
-112.849634,300,2031.122048
-137.369004,300,2031.78983
-109.187542,300,2032.447874
-134.610679,300,2033.121826
