#{"t_start": 1789708312.118484, "env_id": "None"}
r,l,t
-90.2053,300,759.058289
-123.696867,300,760.597396
-122.991146,300,762.584556
-119.845096,300,764.993436
-120.561409,300,767.102625
-183.0838,300,770.467235
-152.719896,300,773.128748
-211.925358,300,776.140615
-135.996059,300,778.257198
-164.6692,300,780.958651
-97.545017,300,782.644834
-59.282833,300,783.881223
-132.58868,300,786.227809
-181.691713,300,789.123371
-161.739817,300,791.710211
-121.317925,300,793.66818
-123.436358,300,795.626505
-122.971671,300,797.942522
-128.014854,300,799.860048
-85.777842,300,801.741574
-113.624788,300,803.555921
-91.734742,300,805.30021
-135.427934,300,807.475984
-79.008783,300,808.814084
-119.027258,300,810.550063
-89.105333,300,812.075937
-137.848063,300,813.805679
-85.490704,300,815.674916
-154.616133,300,817.768766
-166.272529,300,819.960493
-124.499821,300,821.974914
-85.0509,300,823.680848
-104.524846,300,825.784963
-110.365117,300,827.761888
-153.611696,300,830.119006
-124.927371,300,832.434236
-82.748783,300,833.953958
-110.164983,300,835.459542
-169.012959,300,837.978123
-147.010271,300,840.110007
-101.522129,300,841.927971
-125.769617,300,843.827358
-72.086513,300,845.42639
-176.602438,300,847.948559
-147.047717,300,850.081562
-114.799242,300,851.882268
-120.791054,300,853.714738
-139.921938,300,855.815982
-161.301413,300,858.267842
-106.332604,300,860.08821
-109.079259,300,862.121618
-58.358142,300,863.391078
-162.58765,300,866.291627
-138.70598,300,868.465732
-148.722196,300,870.301152
-136.485271,300,872.109726
-176.880692,300,874.740767
-109.805617,300,876.644733
-110.651005,300,878.988471
-125.087238,300,881.106849
-110.753034,300,883.222175
-116.824663,300,885.696444
-84.662159,300,887.757751
-100.792188,300,889.810674
-71.355254,300,891.60331
-149.011875,300,894.470904
-141.211905,300,896.981556
-101.66575,300,898.858714
-154.357313,300,901.89347
-130.518109,300,904.309994
-144.324254,300,906.630365
-100.600629,300,908.833857
-120.951967,300,911.222881
-140.822921,300,914.109483
-108.258804,300,916.269401
-159.7047,300,919.372215
-154.449038,300,922.579743
-170.707359,300,925.752447
-152.579271,300,928.5294
-137.169734,300,931.388926
-137.483971,300,933.647582
-123.138342,300,935.686882
-161.801467,300,938.382529
-99.265204,300,940.288015
-123.442429,300,942.282783
