#{"t_start": 1789708854.3192565, "env_id": "None"}
r,l,t
-131.868738,300,1724.512529
-165.387354,300,1726.824556
-181.465354,300,1729.135624
-104.368617,300,1730.774734
-105.429204,300,1732.407912
-135.931833,300,1734.529057
-155.869063,300,1736.653267
-77.223133,300,1738.03805
-170.729955,300,1740.191434
-123.247684,300,1742.0915
-185.385154,300,1744.316298
-157.1513,300,1746.788291
-190.7848,300,1748.990528
-146.707363,300,1751.00073
-156.085779,300,1752.891881
-133.658075,300,1754.601143
-168.484379,300,1756.868906
-172.630621,300,1758.990071
-177.897329,300,1761.38197
